Date and Time,Temperature,ECG,GSR,HR,IR,RED
2024-07-10 09:41:04.004957+00:00,81.16,0.0362,0.1281,72.04,105592.0,84228.0
2024-07-10 09:41:00.889074+00:00,81.34,0.0,0.1554,0.0,105641.0,84258.0
2024-07-10 09:40:57.778375+00:00,81.12,0.0547,0.0401,0.0,105594.0,84245.0
2024-07-10 09:40:54.666205+00:00,81.12,0.0518,0.0391,71.55,105637.0,84260.0
2024-07-10 09:40:51.558195+00:00,81.12,0.0518,0.0088,72.04,105632.0,84315.0
2024-07-10 09:40:48.448724+00:00,81.23,0.0411,0.0,71.75,105625.0,84290.0
2024-07-10 09:40:45.335202+00:00,81.05,0.0215,0.0225,47.61,105622.0,84253.0
2024-07-10 09:40:42.223421+00:00,81.12,0.0,0.1535,0.0,105614.0,84268.0
2024-07-10 09:40:39.112595+00:00,81.23,0.0401,0.0342,0.0,105641.0,84284.0
2024-07-10 09:40:36.003686+00:00,81.05,0.0557,0.0274,71.46000000000001,105603.0,84242.0
2024-07-10 09:40:32.897719+00:00,81.12,0.0391,0.0,72.24000000000001,105549.0,84231.0
2024-07-10 09:40:29.789910+00:00,81.23,0.0332,0.0,71.85000000000001,105587.0,84250.0
2024-07-10 09:40:26.680819+00:00,81.16,0.0274,0.1329,57.58,105625.0,84265.0
2024-07-10 09:40:23.557901+00:00,81.27,0.0166,0.1544,11.44,105666.0,84339.0
2024-07-10 09:40:20.443980+00:00,81.12,0.0196,0.1535,0.0,105690.0,84314.0
2024-07-10 09:40:17.332823+00:00,81.16,0.0,0.1593,0.0,105747.0,84351.0
2024-07-10 09:40:14.221148+00:00,81.05,0.0,0.1672,0.0,105761.0,84350.0
2024-07-10 09:40:11.109841+00:00,81.23,0.0127,0.1564,0.0,105782.0,84387.0
2024-07-10 09:40:07.996142+00:00,81.23,0.0147,0.1574,0.0,105737.0,84373.0
2024-07-10 09:40:04.887307+00:00,81.16,0.0381,0.1417,0.0,105765.0,84361.0
2024-07-10 09:40:01.778842+00:00,81.27,0.0283,0.0,69.21000000000001,105758.0,84367.0
2024-07-10 09:39:58.670072+00:00,81.23,0.0567,0.0156,71.95,105795.0,84365.0
2024-07-10 09:39:55.560759+00:00,81.27,0.0577,0.0313,72.04,105758.0,84402.0
2024-07-10 09:39:52.447942+00:00,81.34,0.0,0.0831,0.0,105752.0,84363.0
2024-07-10 09:39:49.339022+00:00,81.23,0.045,0.0323,42.72,105712.0,84335.0
2024-07-10 09:39:46.227212+00:00,81.23,0.0508,0.0332,71.55,105709.0,84345.0
2024-07-10 09:39:43.115352+00:00,81.34,0.0283,0.1486,0.1,105727.0,84359.0
2024-07-10 09:39:40.002075+00:00,81.37,0.0538,0.0254,71.46000000000001,105705.0,84373.0
2024-07-10 09:39:36.886306+00:00,81.27,0.0352,0.1388,0.0,105695.0,84343.0
2024-07-10 09:39:33.778222+00:00,81.37,0.0166,0.0381,29.330000000000002,105685.0,84318.0
2024-07-10 09:39:30.667604+00:00,81.37,0.0059,0.0342,71.65,105722.0,84341.0
2024-07-10 09:39:27.559422+00:00,81.05,0.0499,0.0303,72.04,105705.0,84385.0
2024-07-10 09:39:24.448304+00:00,81.23,0.0205,0.0283,72.14,105658.0,84331.0
2024-07-10 09:39:21.336267+00:00,81.27,0.0,0.0401,71.95,105597.0,84338.0
2024-07-10 09:39:18.224556+00:00,81.12,0.0323,0.1574,0.0,105735.0,84429.0
2024-07-10 09:39:15.110059+00:00,81.34,0.0469,0.1271,0.0,105786.0,84411.0
2024-07-10 09:39:12.001435+00:00,81.16,0.0,0.0381,71.75,105692.0,84414.0
2024-07-10 09:39:08.889813+00:00,81.37,0.0362,0.1496,0.0,105684.0,84391.0
2024-07-10 09:39:05.781397+00:00,81.48,0.0,0.0342,71.85000000000001,105662.0,84363.0
2024-07-10 09:39:02.661758+00:00,81.48,0.043,0.0,4.6899999999999995,105668.0,84353.0
2024-07-10 09:38:59.545989+00:00,81.48,0.0538,0.1398,0.0,105651.0,84395.0
2024-07-10 09:38:56.437941+00:00,81.48,0.0401,0.1584,70.09,105599.0,84335.0
2024-07-10 09:38:53.331373+00:00,81.23,0.0401,0.0303,71.95,105606.0,84334.0
